TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,12,29,6.0
1610612738,Boston Celtics,4,49,6.0
1610612739,Cleveland Cavaliers,14,19,6.0
1610612740,New Orleans Pelicans,13,33,6.0
1610612741,Chicago Bulls,13,22,6.0
1610612742,Dallas Mavericks,14,33,6.0
1610612743,Denver Nuggets,2,54,6.0
1610612744,Golden State Warriors,1,57,6.0
1610612745,Houston Rockets,4,53,6.0
1610612746,Los Angeles Clippers,8,48,6.0
1610612747,Los Angeles Lakers,10,37,6.0
1610612748,Miami Heat,10,39,6.0
1610612749,Milwaukee Bucks,1,60,6.0
1610612750,Minnesota Timberwolves,11,36,6.0
1610612751,Brooklyn Nets,6,42,6.0
1610612752,New York Knicks,15,17,6.0
1610612753,Orlando Magic,7,42,6.0
1610612754,Indiana Pacers,5,48,6.0
1610612755,Philadelphia 76ers,3,51,6.0
1610612756,Phoenix Suns,15,19,6.0
1610612757,Portland Trail Blazers,3,53,6.0
1610612758,Sacramento Kings,9,39,6.0
1610612759,San Antonio Spurs,7,48,6.0
1610612760,Oklahoma City Thunder,6,49,6.0
1610612761,Toronto Raptors,2,58,6.0
1610612762,Utah Jazz,5,50,6.0
1610612763,Memphis Grizzlies,12,33,6.0
1610612764,Washington Wizards,11,32,6.0
1610612765,Detroit Pistons,8,41,6.0
1610612766,Charlotte Hornets,9,39,6.0
