Team,Season,Win_Pct,Is_Champion,Player1_Name,Player1_Degree,Player2_Name,Player2_Degree,Duo_Avg_Degree,Duo_Total_Degree,Duo_Gap,Duo_Concentration,GP,Duo_Avg_Per_Game
CLE,2016-17,0.622,False,LeBron James,8941,Kyrie Irving,8288,8614.5,17229,653,0.4502430355929546,74,116.41216216216216
CLE,2017-18,0.61,False,LeBron James,7631,Kevin Love,2856,5243.5,10487,4775,0.3888971297189053,82,63.94512195121951
CLE,2018-19,0.232,False,Collin Sexton,6467,Cedi Osman,4072,5269.5,10539,2395,0.35221576097854423,82,64.26219512195122
CLE,2019-20,0.292,False,Collin Sexton,5532,Darius Garland,5152,5342.0,10684,380,0.34338240020569516,65,82.18461538461538
CLE,2020-21,0.306,False,Collin Sexton,6050,Darius Garland,5884,5967.0,11934,166,0.3613516623266517,60,99.45
CLE,2021-22,0.537,False,Darius Garland,8073,Evan Mobley,4225,6149.0,12298,3848,0.3570225860767578,68,90.42647058823529
CLE,2022-23,0.622,False,Darius Garland,7791,Donovan Mitchell,6069,6930.0,13860,1722,0.3655834564254062,69,100.43478260869566
CLE,2023-24,0.585,False,Darius Garland,6725,Donovan Mitchell,6267,6496.0,12992,458,0.2759323761787444,57,113.96491228070175
DAL,2015-16,0.512,False,Deron Williams,9588,Raymond Felton,6975,8281.5,16563,2613,0.3141453607465291,65,127.4076923076923
DAL,2016-17,0.402,False,Seth Curry,4418,Wesley Matthews,3586,4002.0,8004,832,0.2874174087905774,70,57.17142857142857
DAL,2017-18,0.293,False,Dennis Smith Jr.,8344,J.J. Barea,6278,7311.0,14622,2066,0.3368813934199613,69,105.95652173913044
DAL,2018-19,0.402,False,Luka Dončić,4935,Jalen Brunson,4497,4716.0,9432,438,0.2898408210927417,72,65.5
DAL,2019-20,0.571,False,Luka Dončić,7730,Delon Wright,4606,6168.0,12336,3124,0.30979407332998493,61,101.11475409836065
DAL,2020-21,0.583,False,Luka Dončić,8108,Jalen Brunson,5275,6691.5,13383,2833,0.37088460259394745,66,101.38636363636364
DAL,2021-22,0.634,False,Luka Dončić,7499,Jalen Brunson,7379,7439.0,14878,120,0.37913460068294175,65,114.44615384615385
DAL,2022-23,0.463,False,Luka Dončić,6016,Tim Hardaway Jr.,3348,4682.0,9364,2668,0.3440876019695745,66,70.93939393939394
DAL,2023-24,0.61,False,Luka Dončić,7620,Kyrie Irving,5245,6432.5,12865,2375,0.39201048205253214,70,91.89285714285714
DEN,2015-16,0.402,False,Emmanuel Mudiay,7534,Will Barton,4410,5972.0,11944,3124,0.3077557330584901,68,87.82352941176471
DEN,2016-17,0.488,False,Jameer Nelson,6852,Nikola Jokić,6422,6637.0,13274,430,0.31505743852653567,75,88.49333333333334
