TeamID,TeamName,WinPCT,PlayoffRank
1610612755,76ers,0.681,1
1610612762,Jazz,0.722,1
1610612751,Nets,0.667,2
1610612756,Suns,0.708,2
1610612743,Nuggets,0.653,3
1610612749,Bucks,0.639,3
1610612752,Knicks,0.569,4
1610612746,Clippers,0.653,4
1610612737,Hawks,0.569,5
1610612742,Mavericks,0.583,5
1610612757,Trail Blazers,0.583,6
1610612748,Heat,0.556,6
1610612738,Celtics,0.5,7
1610612747,Lakers,0.583,7
1610612763,Grizzlies,0.528,8
1610612764,Wizards,0.472,8
1610612744,Warriors,0.542,9
1610612754,Pacers,0.472,9
1610612759,Spurs,0.458,10
1610612766,Hornets,0.458,10
1610612740,Pelicans,0.431,11
1610612741,Bulls,0.431,11
1610612758,Kings,0.431,12
1610612761,Raptors,0.375,12
1610612750,Timberwolves,0.319,13
1610612739,Cavaliers,0.306,13
1610612753,Magic,0.292,14
1610612760,Thunder,0.306,14
1610612765,Pistons,0.278,15
1610612745,Rockets,0.236,15
