TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,5,41,6.0
1610612738,Boston Celtics,7,36,6.0
1610612739,Cleveland Cavaliers,13,22,6.0
1610612740,New Orleans Pelicans,11,31,6.0
1610612741,Chicago Bulls,11,31,6.0
1610612742,Dallas Mavericks,5,42,6.0
1610612743,Denver Nuggets,3,47,6.0
1610612744,Golden State Warriors,9,39,6.0
1610612745,Houston Rockets,15,17,6.0
1610612746,Los Angeles Clippers,4,47,6.0
1610612747,Los Angeles Lakers,7,42,6.0
1610612748,Miami Heat,6,40,6.0
1610612749,Milwaukee Bucks,3,46,6.0
1610612750,Minnesota Timberwolves,13,23,6.0
1610612751,Brooklyn Nets,2,48,6.0
1610612752,New York Knicks,4,41,6.0
1610612753,Orlando Magic,14,21,6.0
1610612754,Indiana Pacers,9,34,6.0
1610612755,Philadelphia 76ers,1,49,6.0
1610612756,Phoenix Suns,2,51,6.0
1610612757,Portland Trail Blazers,6,42,6.0
1610612758,Sacramento Kings,12,31,6.0
1610612759,San Antonio Spurs,10,33,6.0
1610612760,Oklahoma City Thunder,14,22,6.0
1610612761,Toronto Raptors,12,27,6.0
1610612762,Utah Jazz,1,52,6.0
1610612763,Memphis Grizzlies,8,38,6.0
1610612764,Washington Wizards,8,34,6.0
1610612765,Detroit Pistons,15,20,6.0
1610612766,Charlotte Hornets,10,33,6.0
