TeamID,TeamName,WinPCT,PlayoffRank
1610612739,Cavaliers,0.695,1
1610612744,Warriors,0.89,1
1610612759,Spurs,0.817,2
1610612761,Raptors,0.683,2
1610612760,Thunder,0.671,3
1610612748,Heat,0.585,3
1610612746,Clippers,0.646,4
1610612737,Hawks,0.585,4
1610612738,Celtics,0.585,5
1610612757,Trail Blazers,0.537,5
1610612742,Mavericks,0.512,6
1610612766,Hornets,0.585,6
1610612754,Pacers,0.549,7
1610612763,Grizzlies,0.512,7
1610612745,Rockets,0.5,8
1610612765,Pistons,0.537,8
1610612741,Bulls,0.512,9
1610612762,Jazz,0.488,9
1610612764,Wizards,0.5,10
1610612758,Kings,0.402,10
1610612743,Nuggets,0.402,11
1610612753,Magic,0.427,11
1610612749,Bucks,0.402,12
1610612740,Pelicans,0.366,12
1610612750,Timberwolves,0.354,13
1610612752,Knicks,0.39,13
1610612751,Nets,0.256,14
1610612756,Suns,0.28,14
1610612747,Lakers,0.207,15
1610612755,76ers,0.122,15
