PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
201566,Russell Westbrook,Russell,1610612760,OKC,28.0,81,46,35,0.568,34.6,10.2,24.0,0.425,2.5,7.2,0.343,8.8,10.4,0.845,1.7,9.0,10.7,10.4,5.4,1.6,0.4,1.1,2.3,6.7,31.6,3.1,60.6,62,42,59.1,18,62,147,143,22,2,1,293,16,9,206,2,2,96,66,5,11,3,2,12,179,15,95,4,1,47,1,2,1,1,1
201935,James Harden,James,1610612745,HOU,27.0,81,54,27,0.667,36.4,8.3,18.9,0.44,3.2,9.3,0.347,9.2,10.9,0.847,1.2,7.0,8.1,11.2,5.7,1.5,0.5,1.1,2.7,6.2,29.1,5.2,55.8,64,22,55.6,18,15,254,56,7,15,9,253,4,2,199,1,1,93,120,17,24,1,1,19,134,20,46,7,2,21,2,1,2,2,1
202738,Isaiah Thomas,Isaiah,1610612738,BOS,28.0,76,51,25,0.671,33.8,9.0,19.4,0.463,3.2,8.5,0.379,7.8,8.5,0.909,0.6,2.1,2.7,5.9,2.8,0.9,0.2,1.5,2.2,6.3,28.9,3.6,41.5,5,0,42.9,97,21,273,55,35,8,7,173,5,4,102,3,7,19,261,279,276,19,18,103,316,1,123,6,3,36,16,97,24,12,1
203076,Anthony Davis,Anthony,1610612740,NOP,24.0,75,31,44,0.413,36.1,10.3,20.3,0.505,0.5,1.8,0.299,6.9,8.6,0.802,2.3,9.5,11.8,2.1,2.4,1.3,2.2,0.7,2.2,6.9,28.0,0.7,53.3,49,0,49.4,111,196,57,316,9,1,3,95,257,241,305,7,6,164,25,4,7,146,30,38,4,56,112,3,4,141,3,8,24,4,1
201942,DeMar DeRozan,DeMar,1610612761,TOR,27.0,74,47,27,0.635,35.4,9.7,20.9,0.467,0.4,1.7,0.266,7.4,8.7,0.842,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.2,1.8,5.5,27.3,2.0,40.7,5,0,39.3,126,52,254,86,14,5,2,165,279,256,340,5,5,102,161,80,98,55,28,74,313,11,209,12,5,77,18,97,24,18,1
203081,Damian Lillard,Damian,1610612757,POR,26.0,75,38,37,0.507,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.5,7.3,0.895,0.6,4.3,4.9,5.9,2.6,0.9,0.3,1.3,2.0,5.6,27.0,1.1,42.6,11,0,43.0,111,120,121,211,10,10,5,234,9,7,132,8,10,31,243,78,112,20,20,108,249,5,156,11,6,118,13,48,24,11,1
202326,DeMarcus Cousins,DeMarcus,1610612740,NOP,26.0,72,30,42,0.417,34.2,9.0,19.9,0.452,1.8,5.0,0.361,7.2,9.3,0.772,2.1,8.9,11.0,4.6,3.7,1.4,1.3,1.5,3.9,8.2,27.0,-0.3,51.4,46,2,49.8,158,209,75,315,25,7,4,208,55,44,153,6,3,222,31,6,10,42,6,30,20,2,1,1,7,229,4,10,9,3,2
2544,LeBron James,LeBron,1610612739,CLE,32.0,74,51,23,0.689,37.8,9.9,18.2,0.548,1.7,4.6,0.363,4.8,7.2,0.674,1.3,7.3,8.6,8.7,4.1,1.2,0.6,0.8,1.8,5.9,26.4,6.5,51.3,42,13,49.1,126,21,290,45,1,3,15,45,65,59,150,21,12,354,104,15,19,6,4,41,91,45,209,9,8,8,5,11,3,5,1
202695,Kawhi Leonard,Kawhi,1610612759,SAS,26.0,74,54,20,0.73,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.3,7.2,0.88,1.1,4.7,5.8,3.5,2.1,1.8,0.7,0.4,1.6,5.4,25.5,5.9,43.3,9,0,41.9,126,15,316,34,38,13,19,121,37,38,97,9,11,44,138,60,77,64,56,8,68,168,249,13,9,13,12,66,24,13,1
201939,Stephen Curry,Stephen,1610612744,GSW,29.0,79,65,14,0.823,33.4,8.5,18.3,0.468,4.1,10.0,0.411,4.1,4.6,0.898,0.8,3.7,4.5,6.6,3.0,1.8,0.2,0.7,2.3,3.5,25.3,12.8,43.6,9,0,44.5,54,2,379,13,39,14,14,162,1,1,42,30,38,30,194,108,136,12,10,7,280,65,100,43,10,1,11,66,24,9,1
202681,Kyrie Irving,Kyrie,1610612739,CLE,25.0,72,47,25,0.653,35.1,9.3,19.7,0.473,2.5,6.1,0.401,4.1,4.6,0.905,0.7,2.5,3.2,5.8,2.5,1.2,0.3,1.0,2.2,3.4,25.2,4.6,39.7,8,0,39.7,158,52,273,72,15,6,6,150,17,21,58,29,39,22,208,228,219,21,24,51,207,21,127,45,11,26,20,71,24,17,1
1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,21.0,82,31,51,0.378,37.0,9.8,18.0,0.542,1.2,3.4,0.367,4.3,5.2,0.832,3.6,8.7,12.3,2.7,2.6,0.7,1.3,1.1,2.9,4.7,25.1,-0.3,47.1,62,1,45.2,1,196,18,353,6,4,16,52,122,127,140,27,28,120,7,9,6,97,22,186,23,17,19,19,12,225,9,2,12,7,1
201142,Kevin Durant,Kevin,1610612744,GSW,28.0,62,51,11,0.823,33.4,8.9,16.5,0.537,1.9,5.0,0.375,5.4,6.2,0.875,0.6,7.6,8.3,4.8,2.2,1.1,1.6,0.4,1.9,4.6,25.1,11.5,48.0,23,1,45.4,244,21,402,14,40,9,22,53,44,46,109,14,17,48,238,13,21,39,48,70,11,178,185,22,13,2,7,21,12,6,1
202710,Jimmy Butler III,Jimmy,1610612741,CHI,27.0,76,40,36,0.526,37.0,7.5,16.5,0.455,1.2,3.3,0.367,7.7,8.9,0.865,1.7,4.5,6.2,5.5,2.1,1.9,0.4,0.8,1.5,6.5,23.9,2.7,44.4,15,2,41.4,97,92,136,177,5,27,23,193,125,132,141,4,4,60,64,70,66,26,55,5,156,53,302,5,14,52,10,36,9,14,1
202331,Paul George,Paul,1610612754,IND,27.0,75,39,36,0.52,35.9,8.3,18.0,0.461,2.6,6.6,0.393,4.5,5.0,0.898,0.8,5.8,6.6,3.3,2.9,1.6,0.4,0.7,2.7,4.2,23.7,2.2,39.5,11,0,40.1,111,109,136,187,11,17,18,176,12,14,69,25,31,28,193,30,51,74,12,14,198,63,33,28,15,69,21,48,24,16,1
203952,Andrew Wiggins,Andrew,1610612750,MIN,22.0,82,31,51,0.378,37.2,8.6,19.1,0.452,1.3,3.5,0.356,5.0,6.6,0.76,1.2,2.8,4.0,2.3,2.3,1.0,0.4,1.2,2.2,4.8,23.6,-0.2,33.6,1,0,33.9,1,196,18,353,4,12,8,210,119,112,167,17,16,245,109,196,158,125,40,83,192,10,117,18,16,218,48,168,24,39,1
