TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,5,43,6.0
1610612738,Boston Celtics,1,53,6.0
1610612739,Cleveland Cavaliers,2,51,6.0
1610612740,New Orleans Pelicans,10,34,6.0
1610612741,Chicago Bulls,8,41,6.0
1610612742,Dallas Mavericks,11,33,6.0
1610612743,Denver Nuggets,9,40,6.0
1610612744,Golden State Warriors,1,67,6.0
1610612745,Houston Rockets,3,55,6.0
1610612746,Los Angeles Clippers,4,51,6.0
1610612747,Los Angeles Lakers,14,26,6.0
1610612748,Miami Heat,9,41,6.0
1610612749,Milwaukee Bucks,6,42,6.0
1610612750,Minnesota Timberwolves,13,31,6.0
1610612751,Brooklyn Nets,15,20,6.0
1610612752,New York Knicks,12,31,6.0
1610612753,Orlando Magic,13,29,6.0
1610612754,Indiana Pacers,7,42,6.0
1610612755,Philadelphia 76ers,14,28,6.0
1610612756,Phoenix Suns,15,24,6.0
1610612757,Portland Trail Blazers,8,41,6.0
1610612758,Sacramento Kings,12,32,6.0
1610612759,San Antonio Spurs,2,61,6.0
1610612760,Oklahoma City Thunder,6,47,6.0
1610612761,Toronto Raptors,3,51,6.0
1610612762,Utah Jazz,5,51,6.0
1610612763,Memphis Grizzlies,7,43,6.0
1610612764,Washington Wizards,4,49,6.0
1610612765,Detroit Pistons,10,37,6.0
1610612766,Charlotte Hornets,11,36,6.0
