TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,8,41,6.0
1610612738,Boston Celtics,2,57,6.0
1610612739,Cleveland Cavaliers,4,51,6.0
1610612740,New Orleans Pelicans,9,42,6.0
1610612741,Chicago Bulls,10,40,6.0
1610612742,Dallas Mavericks,11,38,6.0
1610612743,Denver Nuggets,1,53,6.0
1610612744,Golden State Warriors,6,44,6.0
1610612745,Houston Rockets,14,22,6.0
1610612746,Los Angeles Clippers,5,44,6.0
1610612747,Los Angeles Lakers,7,43,6.0
1610612748,Miami Heat,7,44,6.0
1610612749,Milwaukee Bucks,1,58,6.0
1610612750,Minnesota Timberwolves,8,42,6.0
1610612751,Brooklyn Nets,6,45,6.0
1610612752,New York Knicks,5,47,6.0
1610612753,Orlando Magic,13,34,6.0
1610612754,Indiana Pacers,11,35,6.0
1610612755,Philadelphia 76ers,3,54,6.0
1610612756,Phoenix Suns,4,45,6.0
1610612757,Portland Trail Blazers,13,33,6.0
1610612758,Sacramento Kings,3,48,6.0
1610612759,San Antonio Spurs,15,22,6.0
1610612760,Oklahoma City Thunder,10,40,6.0
1610612761,Toronto Raptors,9,41,6.0
1610612762,Utah Jazz,12,37,6.0
1610612763,Memphis Grizzlies,2,51,6.0
1610612764,Washington Wizards,12,35,6.0
1610612765,Detroit Pistons,15,17,6.0
1610612766,Charlotte Hornets,14,27,6.0
