TEAM_ABBREVIATION,SEASON,Num_Ball_Huggers,Num_Elite_Passers,Num_Ball_Huggers_Abs,Num_Elite_Passers_Abs,Num_Extreme_Huggers,Num_Extreme_Passers,Roster_Size,Hugger_Category,Passer_Category,Extreme_Hugger_Cat,Extreme_Passer_Cat,W_PCT,WINS,LOSSES,Net_Passers_Huggers,Net_Category
DET,2021-22,1,1,1,1,0,0,14,1,1,0,0,0.094,23,59,0,Equal
DET,2022-23,2,2,1,2,0,2,14,1,2+,0,2+,0.125,16,60,1,More Passers
DET,2023-24,2,2,2,2,0,2,17,2+,2+,0,2+,0.167,32,63,0,Equal
GSW,2015-16,1,1,1,2,1,1,11,1,2+,1,1,0.875,73,9,1,More Passers
GSW,2016-17,1,3,1,3,1,0,11,1,2+,1,0,0.823,66,36,2,More Passers
GSW,2017-18,2,3,2,3,0,0,14,2+,2+,0,0,0.719,56,24,1,More Passers
GSW,2018-19,2,1,1,6,1,0,14,1,2+,1,0,0.563,56,25,5,More Passers
GSW,2019-20,1,2,1,0,0,0,7,1,0,0,0,0.233,15,46,-1,More Huggers
GSW,2020-21,2,2,2,2,0,0,13,2+,2+,0,0,0.491,38,33,0,Equal
GSW,2021-22,3,2,1,2,1,0,15,1,2+,1,0,0.645,53,29,1,More Passers
GSW,2022-23,2,3,2,3,1,0,13,2+,2+,1,0,0.537,44,38,1,More Passers
GSW,2023-24,2,3,2,3,0,0,14,2+,2+,0,0,0.581,43,36,1,More Passers
HOU,2015-16,1,2,1,2,0,1,10,1,2+,0,1,0.5,41,41,1,More Passers
HOU,2016-17,3,2,2,3,0,1,11,2+,2+,0,1,0.667,54,47,1,More Passers
HOU,2017-18,2,3,2,3,1,3,13,2+,2+,1,2+,0.393,65,20,1,More Passers
HOU,2018-19,2,2,2,5,1,5,12,2+,2+,1,2+,0.647,53,31,3,More Passers
HOU,2019-20,3,2,2,5,0,4,12,2+,2+,0,2+,0.632,44,43,3,More Passers
HOU,2020-21,4,3,1,3,0,0,14,1,2+,0,0,0.222,28,53,2,More Passers
HOU,2021-22,1,1,1,1,0,0,12,1,1,0,0,0.125,32,59,0,Equal
HOU,2022-23,2,1,1,3,0,1,11,1,2+,0,1,0.263,22,60,2,More Passers
HOU,2023-24,1,3,0,3,0,1,12,0,2+,0,1,0.5,41,41,3,More Passers
IND,2015-16,3,2,0,2,0,0,12,0,2+,0,0,0.533,44,37,2,More Passers
IND,2016-17,2,1,0,3,0,1,12,0,2+,0,1,0.436,42,40,3,More Passers
IND,2017-18,2,1,1,3,0,1,12,1,2+,0,1,0.585,48,34,2,More Passers
IND,2018-19,1,3,1,2,0,0,11,1,2+,0,0,0.58,48,42,1,More Passers
IND,2019-20,2,3,0,2,0,0,11,0,2+,0,0,0.597,45,28,2,More Passers
IND,2020-21,4,2,1,2,0,1,13,1,2+,0,1,0.468,34,38,1,More Passers
IND,2021-22,1,1,1,2,0,0,15,1,2+,0,0,0.25,29,55,1,More Passers
IND,2022-23,1,2,0,1,0,0,13,0,1,0,0,0.413,36,45,1,More Passers
IND,2023-24,3,2,0,0,0,0,13,0,0,0,0,0.344,47,42,0,Equal
LAC,2015-16,2,2,2,2,0,2,12,2+,2+,0,2+,0.627,51,32,0,Equal
LAC,2016-17,2,2,1,2,0,2,13,1,2+,0,2+,0.622,51,31,1,More Passers
LAC,2017-18,2,2,2,2,0,1,14,2+,2+,0,1,0.493,42,41,0,Equal
LAC,2018-19,1,1,1,2,0,1,13,1,2+,0,1,0.585,51,38,1,More Passers
LAC,2019-20,3,2,1,2,0,2,12,1,2+,0,2+,0.419,49,36,1,More Passers
LAC,2020-21,2,1,1,1,0,1,13,1,1,0,1,0.537,47,25,0,Equal
LAC,2021-22,1,2,1,3,1,1,14,1,2+,1,1,0.333,41,40,2,More Passers
LAC,2022-23,1,4,1,4,1,2,15,1,2+,1,2+,0.354,44,51,3,More Passers
LAC,2023-24,2,3,1,4,0,3,13,1,2+,0,2+,0.419,48,28,3,More Passers
LAL,2015-16,2,3,2,6,1,3,15,2+,2+,1,2+,0.21,17,64,4,More Passers
LAL,2016-17,2,4,2,4,0,3,14,2+,2+,0,2+,0.317,47,56,2,More Passers
LAL,2017-18,1,1,1,1,0,0,11,1,1,0,0,0.407,35,47,0,Equal
LAL,2018-19,1,1,0,2,0,1,16,0,2+,0,1,0.32,37,45,2,More Passers
LAL,2019-20,0,2,0,3,0,2,12,0,2+,0,2+,0.75,52,36,3,More Passers
LAL,2020-21,3,2,0,0,0,0,13,0,0,0,0,0.377,41,33,0,Equal
LAL,2021-22,1,1,0,3,0,1,15,0,2+,0,1,0.333,32,47,3,More Passers
LAL,2022-23,3,2,1,4,0,4,13,1,2+,0,2+,0.463,45,36,3,More Passers
LAL,2023-24,1,2,0,2,0,2,13,0,2+,0,2+,0.368,47,38,2,More Passers
MEM,2015-16,3,2,1,1,0,1,13,1,1,0,1,0.5,39,39,0,Equal
MEM,2016-17,2,2,0,2,0,2,14,0,2+,0,2+,0.493,40,37,2,More Passers
MEM,2017-18,1,4,1,4,0,1,13,1,2+,0,1,0.288,22,60,3,More Passers
MEM,2018-19,3,3,1,2,0,0,16,1,2+,0,0,0.229,45,57,1,More Passers
MEM,2019-20,2,3,1,2,0,0,13,1,2+,0,0,0.317,34,43,1,More Passers
MEM,2020-21,2,3,1,3,0,0,12,1,2+,0,0,0.5,36,34,2,More Passers
MEM,2021-22,3,2,2,2,0,2,14,2+,2+,0,2+,0.667,53,25,0,Equal
MEM,2022-23,2,3,1,3,0,2,14,1,2+,0,2+,0.629,51,30,2,More Passers
MEM,2023-24,1,1,1,1,0,0,15,1,1,0,0,0.333,30,44,0,Equal
MIA,2015-16,2,3,1,2,0,0,13,1,2+,0,0,0.383,46,50,1,More Passers
MIA,2016-17,2,2,0,3,0,2,12,0,2+,0,2+,0.273,40,38,3,More Passers
MIA,2017-18,1,1,1,2,0,1,13,1,2+,0,1,0.3,44,37,1,More Passers
MIA,2018-19,2,1,0,2,0,1,11,0,2+,0,1,0.455,39,43,2,More Passers
MIA,2019-20,2,2,0,2,0,0,12,0,2+,0,0,0.627,44,36,2,More Passers
MIA,2020-21,2,3,0,3,0,0,14,0,2+,0,0,0.359,40,32,3,More Passers
MIA,2021-22,2,2,0,3,0,1,12,0,2+,0,1,0.667,52,27,3,More Passers
MIA,2022-23,1,2,0,3,0,1,12,0,2+,0,1,0.452,42,38,3,More Passers
MIA,2023-24,1,3,0,3,0,0,14,0,2+,0,0,0.563,44,39,3,More Passers
MIL,2015-16,2,2,0,2,0,1,13,0,2+,0,1,0.37,33,48,2,More Passers
MIL,2016-17,2,1,0,1,0,0,14,0,1,0,0,0.5,42,39,1,More Passers
MIL,2017-18,1,1,0,1,0,0,12,0,1,0,0,0.541,44,39,1,More Passers
MIL,2018-19,2,4,0,4,0,0,16,0,2+,0,0,0.741,60,32,4,More Passers
MIL,2019-20,2,2,0,2,0,1,13,0,2+,0,1,0.362,53,37,2,More Passers
MIL,2020-21,2,3,2,3,1,2,11,2+,2+,1,2+,0.667,46,28,1,More Passers
MIL,2021-22,3,1,0,1,0,0,12,0,1,0,0,0.667,47,28,1,More Passers
MIL,2022-23,1,2,0,2,0,1,12,0,2+,0,1,0.746,57,31,2,More Passers
