Team,Season,Density,Mean_Degree,Std_Degree,Max_Degree,Gini,Win_Pct,N_Players
ATL,2015-16,0.6318697668658864,3696.769230769231,2821.6899778963934,8813,0.42966031429970836,0.585,13
ATL,2016-17,0.6720400762989248,3449.5384615384614,2409.7600140768764,9834,0.3683538832053683,0.524,13
ATL,2017-18,0.7472088374763622,2973.1666666666665,1729.3352688886623,7150,0.316254648055758,0.293,12
ATL,2018-19,0.6606484026723286,3135.3333333333335,2247.105558021004,9860,0.3279511304840882,0.354,12
ATL,2019-20,0.5883923454651843,1761.3333333333333,1473.1594920065136,6009,0.4309058793843048,0.299,15
ATL,2020-21,0.6446337428398755,2551.230769230769,1894.2239390739803,8014,0.3683800370165925,0.569,13
ATL,2021-22,0.7206956390916764,3275.4545454545455,2039.0810480854252,8993,0.29491080665102315,0.524,11
ATL,2022-23,0.5535009324172815,2709.1428571428573,2433.229125995297,8430,0.460206556784283,0.5,14
ATL,2023-24,0.6175252112733263,3194.6153846153848,2514.15841672292,9313,0.4172183222508289,0.439,13
BKN,2015-16,0.6909985735887259,2636.1428571428573,1762.8307129299114,6253,0.37531644099681816,0.256,14
BKN,2016-17,0.7756938779463619,2760.5333333333333,1484.4595814264828,4855,0.3060439206594539,0.244,15
BKN,2017-18,0.7182800050790125,3417.6923076923076,2140.399832691776,8191,0.3442684256998909,0.341,13
BKN,2018-19,0.7510321027681134,3760.0,2164.8622624510353,9776,0.28594045071131813,0.512,13
BKN,2019-20,0.6766979438556598,2350.6153846153848,1624.7568593703509,6556,0.36640537288485453,0.486,13
BKN,2020-21,0.7075127970811602,2342.8571428571427,1506.3715087749702,5742,0.351698606271777,0.667,14
BKN,2021-22,0.7444646290224715,1794.6666666666667,1051.4467281903644,4047,0.31525507677067854,0.537,15
BKN,2022-23,0.786744569947563,2043.2857142857142,1063.8055964032035,4463,0.28105492354251355,0.549,14
BKN,2023-24,0.6951298964463754,2017.7142857142858,1336.2388809411195,4610,0.37737690658251405,0.39,14
BOS,2015-16,0.7896826423756309,4502.4,2323.5677394902864,10479,0.25727611940298506,0.585,10
BOS,2016-17,0.7486354785303689,4325.833333333333,2506.6088590408804,10108,0.31775187825081874,0.646,12
BOS,2017-18,0.760726510296268,3517.6923076923076,1972.8354598088738,6835,0.31468653804100993,0.671,13
BOS,2018-19,0.8004409858925212,4048.7272727272725,2021.5735136458381,7566,0.28330094550680146,0.598,11
BOS,2019-20,0.7402088008895455,3073.3333333333335,1820.7267016832104,5880,0.3366413593637021,0.667,12
BOS,2020-21,0.5926232925449166,1579.076923076923,1309.2181731293188,4201,0.45952994783859946,0.5,13
BOS,2021-22,0.6143743276648294,2534.3333333333335,2007.8449613675077,6208,0.4411800166600903,0.622,12
BOS,2022-23,0.7048360058312847,3401.3846153846152,2201.118335981526,7291,0.36315527613189197,0.695,13
BOS,2023-24,0.6120418268914352,2989.0,2379.73071705903,7189,0.4494336376236677,0.78,14
CHA,2015-16,0.64312368127888,3845.6363636363635,2864.7044992055626,10897,0.3915095353325224,0.585,11
