Metric,Deni_Value,AllStar_Mean,Others_Mean,All_Mean,Pct_vs_All,Pct_vs_AllStars,Z_vs_All,Z_vs_AllStars
Weighted_Degree,7200.0,6411.4,2376.294294294294,2943.3151706337826,94.98135933467164,65.51020408163265,2.0071184868467866,0.39750962806176465
Weighted_In_Degree,3800.0,3427.9244897959184,1151.8141474808142,1471.6575853168913,94.95268138801262,64.89795918367346,2.0404581263202393,0.34689334917596154
Weighted_Out_Degree,3400.0,2983.4755102040817,1224.4801468134801,1471.6575853168913,94.55119013478634,64.89795918367346,1.9081787785770672,0.42816580758007716
In_Out_Ratio,1.1176470588235294,1.1659389460746121,0.9375620967178503,0.9696540543274897,73.18611987381703,37.95918367346939,0.6277636886643901,-0.27912902609112344
Degree_Per_Game,180.0,90.43976844490392,38.89376103792224,46.137105927346106,100.0,100.0,4.703671016938598,3.4791752944154566
PTS,1044.0,1394.4163265306122,538.1711711711712,658.4924003441354,82.21967307140808,22.448979591836736,0.8597265176353305,-0.8191693776314816
AST,276.0,364.3530612244898,109.90724057390725,145.66246056782333,85.71838256380843,30.408163265306122,1.0071878175706308,-0.5907631886189746
REB,284.0,395.0,239.88621955288622,261.68310868941785,65.50043016919989,34.69387755102041,0.12516587515680913,-0.5613569124560975
GP,40.0,69.91428571428571,58.04637971304638,59.71408087180958,14.138227702896472,0.40816326530612246,-1.2381480509788474,-3.2712351695260136
MIN,1400.0,2287.991819727891,1297.800374263152,1436.943995793901,49.6988815600803,1.8367346938775513,-0.05514934349380077,-2.3934207262380705
