Metric,Deni,Network_Star_Mean,All_Players_Mean,Pct_vs_All,Pct_vs_Stars,Z_vs_All,Z_vs_Stars
Weighted_Degree,7400.0,7065.646198830409,2943.3151706337826,95.6696300544881,56.14035087719298,2.1014227901863234,0.18439373554813035
Weighted_In_Degree,4000.0,3746.3976608187136,1471.6575853168913,96.09979925437338,61.69590643274854,2.215729436369191,0.2507345056514
Weighted_Out_Degree,3400.0,3319.248538011696,1471.6575853168913,94.55119013478634,50.877192982456144,1.9081787785770672,0.09195752135253928
In_Out_Ratio,1.1764705882352942,1.1365557300314622,0.9696540543274897,81.50272440493261,56.72514619883041,0.8772841030213799,0.24773138833035846
Degree_Per_Game,185.0,100.06444934202715,46.137105927346106,100.0,100.0,4.879360891624322,3.9184328094014518
Net_Pass_Flow,600.0,427.14912280701753,0.0,93.05993690851734,58.77192982456141,1.5549682331731665,0.3153941552733529
Eigenvector_Centrality,0.42,0.5184388553001642,0.2314633476265825,85.20217952394609,4.093567251461988,1.2205124354778127,-1.7029211978970389
Betweenness_Centrality,0.008,0.011630567383921353,0.10563508089660899,56.66762259822197,88.01169590643275,-0.5232359831881283,-0.0937451673133491
In_Degree,12.0,12.002923976608187,11.429308861485518,49.240034413535994,35.38011695906433,0.3202466844219751,-0.0020600304464673883
Out_Degree,12.0,11.985380116959064,11.429308861485518,49.584169773444216,35.67251461988304,0.3214686352643457,0.01027081807815402
Total_Degree,24.0,23.98830409356725,22.858617722971037,50.78864353312302,36.54970760233918,0.322734285029001,0.0041306227767470395
