TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,9,43,6.0
1610612738,Boston Celtics,2,51,6.0
1610612739,Cleveland Cavaliers,8,44,6.0
1610612740,New Orleans Pelicans,9,36,6.0
1610612741,Chicago Bulls,6,46,6.0
1610612742,Dallas Mavericks,4,52,6.0
1610612743,Denver Nuggets,6,48,6.0
1610612744,Golden State Warriors,3,53,6.0
1610612745,Houston Rockets,15,20,6.0
1610612746,Los Angeles Clippers,8,42,6.0
1610612747,Los Angeles Lakers,11,33,6.0
1610612748,Miami Heat,1,53,6.0
1610612749,Milwaukee Bucks,3,51,6.0
1610612750,Minnesota Timberwolves,7,46,6.0
1610612751,Brooklyn Nets,7,44,6.0
1610612752,New York Knicks,11,37,6.0
1610612753,Orlando Magic,15,22,6.0
1610612754,Indiana Pacers,13,25,6.0
1610612755,Philadelphia 76ers,4,51,6.0
1610612756,Phoenix Suns,1,64,6.0
1610612757,Portland Trail Blazers,13,27,6.0
1610612758,Sacramento Kings,12,30,6.0
1610612759,San Antonio Spurs,10,34,6.0
1610612760,Oklahoma City Thunder,14,24,6.0
1610612761,Toronto Raptors,5,48,6.0
1610612762,Utah Jazz,5,49,6.0
1610612763,Memphis Grizzlies,2,56,6.0
1610612764,Washington Wizards,12,35,6.0
1610612765,Detroit Pistons,14,23,6.0
1610612766,Charlotte Hornets,10,43,6.0
