Metric,AllStar_Mean,Others_Mean,Difference,Pct_Difference,U_Statistic,P_Value,Cohens_D,Significant
Eigenvector_Centrality,0.4778613629500343,0.19117805316262143,0.28668330978741285,149.95618223162467,1414772.0,6.346658178381758e-238,2.687413757151427,True
Weighted_In_Degree,3427.9244897959184,1151.8141474808142,2276.1103423151044,197.6109033990675,1395358.5,1.1603737611835384e-224,2.4336265055879682,True
AST,364.3530612244898,109.90724057390725,254.44582065058256,231.50960693939012,1391927.5,2.3129358879243864e-222,2.1093865177144306,True
PTS,1394.4163265306122,538.1711711711712,856.245155359441,159.10275414717503,1382001.5,9.261011935761937e-216,2.2721747904995957,True
Weighted_Degree,6411.4,2376.294294294294,4035.1057057057055,169.80664875534876,1380467.5,9.499153681346956e-215,2.28480841723852,True
Degree_Per_Game,90.43976844490392,38.89376103792224,51.54600740698168,132.53027228897517,1362743.0,3.0425969725727795e-203,2.174928628832721,True
Weighted_Out_Degree,2983.4755102040817,1224.4801468134801,1758.9953633906016,143.65242000600128,1346295.0,7.489441638152528e-193,2.0011587069799783,True
MIN,2287.991819727891,1297.800374263152,990.1914454647392,76.29766989602982,1335617.5,2.971952186177602e-186,1.9813618613169,True
In_Out_Ratio,1.1659389460746121,0.9375620967178503,0.22837684935676184,24.358583837406293,1163538.5,6.907985398512096e-96,1.1252606949302868,True
REB,395.0,239.88621955288622,155.11378044711378,64.66139686398985,1118063.5,4.974351745164235e-77,0.8517779183291304,True
Betweenness_Centrality,0.012778731539235737,0.12081679967709379,-0.10803806813785805,-89.42305078979963,435999.5,1.2554924926436347e-56,-0.7518638938989567,True
GP,69.91428571428571,58.04637971304638,11.867906001239334,20.445557603951535,1055747.0,1.283357484017116e-54,0.9034008177772178,True
In_Degree,11.889795918367346,11.354020687354021,0.535775231013325,4.71881499749305,856464.5,1.5522598170895096e-09,0.3281425443360234,True
Total_Degree,23.76530612244898,22.710377043710377,1.0549290787386028,4.645141191219301,856352.0,1.9676797571266522e-09,0.3248286491616919,True
Out_Degree,11.875510204081632,11.356356356356356,0.519153847725276,4.571482537483919,852563.5,4.9692397951838534e-09,0.31824801940010183,True
PTS_Per_Degree,0.24562854841492127,1.6985546449928206,-1.4529260965778994,-85.53896695999677,692289.0,0.042185328816226296,-0.08586814745930653,True
