Metric,Playoff_Mean,Playoff_Std,Lottery_Mean,Lottery_Std,Difference,Pct_Diff,T_Stat,P_Value,Cohens_d
Density,0.6850354444824429,0.07778884687597079,0.7046408417487785,0.06595414993677105,-0.01960539726633559,-2.782324853279706,-2.2164820317496035,0.02749835063681732,-0.2718641591837492
Std_Degree,2128.9727272496466,410.4687665195015,1785.8155460985063,487.68505847820296,343.1571811511403,19.215712501822495,6.277137248546447,1.3820101458295246e-09,0.7613305931231926
Mean_Degree,3181.39686777343,605.4599242685738,2764.9573403012696,687.8792391539221,416.43952747216053,15.061336440973275,5.290946171882151,2.5320491933833055e-07,0.6426721237707714
Max_Degree,7822.25,1569.3378208034737,6707.492063492064,1846.6329391453266,1114.7579365079364,16.619593820698007,5.361916067957146,1.7788264456704998e-07,0.6505343209843879
Entropy,0.9076246651064742,0.0300233595465693,0.91749175010609,0.022987179369013292,-0.00986708499961575,-1.0754412776436206,-2.999005573388471,0.0029632400394047826,-0.36903224680037217
