Player_Name,Team,Team_FullName,Season,Degree,In_Degree,Out_Degree,Weighted_Degree,Assists_Given,Assists_Received,Betweenness,Clustering,Team_Density,Team_PlayoffRank,Team_PlayoffWins,Team_PlayoffScore,Team_WinPCT,GP,MIN,PTS,AST,REB,STL,BLK,FG_PCT,FG3_PCT,EFF
Mo Bamba,PHI,Philadelphia 76ers,2023-24,24,12,12,104.0,39.0,65.0,9.526824060971676e-05,0.020035450547132697,0.6862745098039216,7.0,47.0,6.0,0.573,,,,,,,,,,
KJ Martin,PHI,Philadelphia 76ers,2023-24,26,14,12,104.0,41.0,63.0,2.0880102990775515e-05,0.020243110914368607,0.6862745098039216,7.0,47.0,6.0,0.573,,,,,,,,,,
Spencer Dinwiddie,LAL,Los Angeles Lakers,2023-24,17,8,9,103.0,67.0,36.0,5.430600034755841e-06,0.04505647153316244,0.8589743589743589,8.0,47.0,6.0,0.573,,,,,,,,,,
Taylor Hendricks,UTA,Utah Jazz,2023-24,19,11,8,100.0,25.0,75.0,0.0001505052009632333,0.0340212599781405,0.8846153846153846,12.0,31.0,6.0,0.378,,,,,,,,,,
Delon Wright,WAS,Washington Wizards,2023-24,19,9,10,99.0,78.0,21.0,0.0003208708820535737,0.020294663731180513,0.6323529411764706,14.0,15.0,5.0,0.183,,,,,,,,,,
Jared Butler,WAS,Washington Wizards,2023-24,20,9,11,99.0,74.0,25.0,0.0,0.03064966845654321,0.6323529411764706,14.0,15.0,5.0,0.183,,,,,,,,,,
Davis Bertans,CHA,Charlotte Hornets,2023-24,19,10,9,98.0,22.0,76.0,1.16370000744768e-05,0.02776570216826573,0.6236842105263158,13.0,21.0,6.0,0.256,,,,,,,,,,
Dalen Terry,CHI,Chicago Bulls,2023-24,21,10,11,98.0,64.0,34.0,0.0002034147613018545,0.034286372648799815,0.9318181818181818,9.0,39.0,6.0,0.476,,,,,,,,,,
Precious Achiuwa,TOR,Toronto Raptors,2023-24,17,8,9,98.0,44.0,54.0,0.0,0.0337373534517788,0.6333333333333333,12.0,25.0,6.0,0.305,,,,,,,,,,
Vasilije Micic,OKC,Oklahoma City Thunder,2023-24,20,8,12,97.0,73.0,24.0,2.0170800129093124e-05,0.0368046717894588,0.6078431372549019,1.0,57.0,6.0,0.695,,,,,,,,,,
Kevin Knox II,DET,Detroit Pistons,2023-24,24,13,11,96.0,23.0,73.0,9.867437206008741e-05,0.01857060726259697,0.5144927536231884,15.0,14.0,5.0,0.171,,,,,,,,,,
Simone Fontecchio,DET,Detroit Pistons,2023-24,22,11,11,96.0,26.0,70.0,0.00011636261217329214,0.0225833589728749,0.5144927536231884,15.0,14.0,5.0,0.171,,,,,,,,,,
AJ Green,MIL,Milwaukee Bucks,2023-24,22,12,10,96.0,26.0,70.0,0.00014972940095826816,0.023942447625726487,0.8351648351648352,3.0,49.0,6.0,0.598,,,,,,,,,,
Chris Boucher,TOR,Toronto Raptors,2023-24,27,14,13,95.0,21.0,74.0,0.00015440267241674852,0.01825128649257657,0.6333333333333333,12.0,25.0,6.0,0.305,,,,,,,,,,
Marvin Bagley III,DET,Detroit Pistons,2023-24,20,10,10,95.0,26.0,69.0,5.585760035748865e-05,0.019002903990271706,0.5144927536231884,15.0,14.0,5.0,0.171,,,,,,,,,,
