Player_Name,Team,Team_FullName,Season,Degree,In_Degree,Out_Degree,Weighted_Degree,Assists_Given,Assists_Received,Betweenness,Clustering,Team_Density,Team_PlayoffRank,Team_PlayoffWins,Team_PlayoffScore,Team_WinPCT,GP,MIN,PTS,AST,REB,STL,BLK,FG_PCT,FG3_PCT,EFF
Justin Minaya,POR,Portland Trail Blazers,2023-24,14,6,8,31.0,19.0,12.0,0.00036772920235346684,0.016968315007127116,0.6911764705882353,15.0,21.0,6.0,0.256,,,,,,,,,,
Seth Curry,CHA,Charlotte Hornets,2023-24,13,7,6,31.0,14.0,17.0,7.292520046672129e-05,0.02386369150236591,0.6236842105263158,13.0,21.0,6.0,0.256,,,,,,,,,,
Patty Mills,ATL,Atlanta Hawks,2023-24,14,8,6,31.0,14.0,17.0,0.00015205680097316352,0.01812559645409811,0.8296703296703297,10.0,36.0,6.0,0.439,,,,,,,,,,
P.J. Tucker,LAC,LA Clippers,2023-24,16,8,8,30.0,16.0,14.0,0.0006113304039125146,0.01678159395895978,0.5916666666666667,,,,0.622,,,,,,,,,,
Richaun Holmes,DAL,Dallas Mavericks,2023-24,14,6,8,29.0,13.0,16.0,0.00023200853291342605,0.01611975887909544,0.7166666666666667,5.0,50.0,6.0,0.61,,,,,,,,,,
Dalano Banton,BOS,Boston Celtics,2023-24,11,3,8,28.0,19.0,9.0,7.486470047913408e-05,0.0158645184616706,0.6958333333333333,1.0,64.0,6.0,0.78,,,,,,,,,,
Tre Mann,OKC,Oklahoma City Thunder,2023-24,15,6,9,28.0,19.0,9.0,0.00017222760110225665,0.01755129521275388,0.6078431372549019,1.0,57.0,6.0,0.695,,,,,,,,,,
Mike Muscala,DET,Detroit Pistons,2023-24,16,9,7,23.0,10.0,13.0,0.0002739017331815425,0.009098852222599334,0.5144927536231884,15.0,14.0,5.0,0.171,,,,,,,,,,
Marcus Morris Sr.,CLE,Cleveland Cavaliers,2023-24,14,9,5,23.0,7.0,16.0,0.0003343698021399668,0.021428996090846034,0.9102564102564102,4.0,48.0,6.0,0.585,,,,,,,,,,
Danilo Gallinari,DET,Detroit Pistons,2023-24,12,4,8,22.0,12.0,10.0,6.629026328140054e-05,0.0135039728772368,0.5144927536231884,15.0,14.0,5.0,0.171,,,,,,,,,,
Lamar Stevens,BOS,Boston Celtics,2023-24,12,8,4,20.0,7.0,13.0,0.00020108736128695914,0.013411624356870287,0.6958333333333333,1.0,64.0,6.0,0.78,,,,,,,,,,
Quentin Grimes,DET,Detroit Pistons,2023-24,13,5,8,20.0,13.0,7.0,0.00012090288934520706,0.012427257975564935,0.5144927536231884,15.0,14.0,5.0,0.171,,,,,,,,,,
Danilo Gallinari,MIL,Milwaukee Bucks,2023-24,12,7,5,19.0,10.0,9.0,0.00042203520270102526,0.011736335439059453,0.8351648351648352,3.0,49.0,6.0,0.598,,,,,,,,,,
Ibou Badji,POR,Portland Trail Blazers,2023-24,14,5,9,18.0,13.0,5.0,0.0005554728035550259,0.011100550282180328,0.6911764705882353,15.0,21.0,6.0,0.256,,,,,,,,,,
Davis Bertans,OKC,Oklahoma City Thunder,2023-24,14,7,7,17.0,8.0,9.0,0.00020248380129589633,0.012524098101436808,0.6078431372549019,1.0,57.0,6.0,0.695,,,,,,,,,,
Thaddeus Young,PHX,Phoenix Suns,2023-24,11,5,6,16.0,10.0,6.0,0.0002384144243829952,0.012720713832546169,0.6801470588235294,6.0,49.0,6.0,0.598,,,,,,,,,,
Nathan Mensah,CHA,Charlotte Hornets,2023-24,10,5,5,16.0,9.0,7.0,0.0002604471445240046,0.013218644649449834,0.6236842105263158,13.0,21.0,6.0,0.256,,,,,,,,,,
Shake Milton,DET,Detroit Pistons,2023-24,9,5,4,15.0,6.0,9.0,7.592496048591976e-05,0.013781145294310465,0.5144927536231884,15.0,14.0,5.0,0.171,,,,,,,,,,
Skylar Mays,LAL,Los Angeles Lakers,2023-24,10,5,5,13.0,7.0,6.0,0.0001700553610883543,0.013503468494890515,0.8589743589743589,8.0,47.0,6.0,0.573,,,,,,,,,,
Monte Morris,DET,Detroit Pistons,2023-24,10,3,7,12.0,8.0,4.0,0.00019160043551195709,0.009340337063126718,0.5144927536231884,15.0,14.0,5.0,0.171,,,,,,,,,,
Robert Covington,LAC,LA Clippers,2023-24,7,2,5,11.0,8.0,3.0,8.688960055609345e-05,0.013780570535989255,0.5916666666666667,,,,0.622,,,,,,,,,,
Jaden Springer,BOS,Boston Celtics,2023-24,8,2,6,10.0,7.0,3.0,0.0001074483006876691,0.009934207421136338,0.6958333333333333,1.0,64.0,6.0,0.78,,,,,,,,,,
Yuta Watanabe,MEM,Memphis Grizzlies,2023-24,7,3,4,9.0,5.0,4.0,0.00025549395987691957,0.011334306944520613,0.7222222222222222,13.0,27.0,6.0,0.329,,,,,,,,,,
Malachi Flynn,NYK,New York Knicks,2023-24,8,3,5,9.0,6.0,3.0,0.00023994385867849783,0.01321436285875706,0.5588235294117647,2.0,50.0,6.0,0.61,,,,,,,,,,
Keita Bates-Diop,BKN,Brooklyn Nets,2023-24,7,4,3,9.0,4.0,5.0,2.7928800178744324e-05,0.009984016424462502,0.7208333333333333,11.0,32.0,6.0,0.39,,,,,,,,,,
Mike Muscala,OKC,Oklahoma City Thunder,2023-24,5,3,2,6.0,3.0,3.0,0.0001298689208311611,0.01191405979465819,0.6078431372549019,1.0,57.0,6.0,0.695,,,,,,,,,,
Shake Milton,NYK,New York Knicks,2023-24,4,2,2,6.0,3.0,3.0,9.775080062560512e-05,0.014474176805599148,0.5588235294117647,2.0,50.0,6.0,0.61,,,,,,,,,,
David Roddy,PHX,Phoenix Suns,2023-24,5,3,2,6.0,2.0,4.0,9.520174346643403e-05,0.010041707940733018,0.6801470588235294,6.0,49.0,6.0,0.598,,,,,,,,,,
Nicolas Batum,LAC,LA Clippers,2023-24,3,2,1,5.0,2.0,3.0,2.482560015888384e-05,0.009230518625736227,0.5916666666666667,,,,0.622,,,,,,,,,,
Bismack Biyombo,OKC,Oklahoma City Thunder,2023-24,4,2,2,5.0,2.0,3.0,0.0001155942007398029,0.010156074272509797,0.6078431372549019,1.0,57.0,6.0,0.695,,,,,,,,,,
Evan Fournier,NYK,New York Knicks,2023-24,5,2,3,5.0,3.0,2.0,0.00011953969790791121,0.015768501485506275,0.5588235294117647,2.0,50.0,6.0,0.61,,,,,,,,,,
Jacob Gilyard,BKN,Brooklyn Nets,2023-24,3,0,3,4.0,4.0,0.0,0.00013421340085896578,0.017715251988402205,0.7208333333333333,11.0,32.0,6.0,0.39,,,,,,,,,,
KJ Martin,LAC,LA Clippers,2023-24,3,2,1,3.0,1.0,2.0,8.844120056602368e-05,0.013913223004264837,0.5916666666666667,,,,0.622,,,,,,,,,,
P.J. Tucker,PHI,Philadelphia 76ers,2023-24,2,2,0,2.0,0.0,2.0,1.16370000744768e-05,0.018979493076898384,0.6862745098039216,7.0,47.0,6.0,0.573,,,,,,,,,,
Aleksej Pokusevski,OKC,Oklahoma City Thunder,2023-24,2,1,1,2.0,1.0,1.0,1.008540006454656e-05,0.0,0.6078431372549019,1.0,57.0,6.0,0.695,,,,,,,,,,
Daniel Theis,IND,Indiana Pacers,2023-24,1,1,0,1.0,0.0,1.0,0.0,0.0,0.7279411764705882,6.0,47.0,6.0,0.573,,,,,,,,,,
Josh Hart,DEN,Denver Nuggets,2023-24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7878787878787878,2.0,57.0,6.0,0.695,,,,,,,,,,
Kentavious Caldwell-Pope,POR,Portland Trail Blazers,2023-24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6911764705882353,15.0,21.0,6.0,0.256,,,,,,,,,,
Tobias Harris,DAL,Dallas Mavericks,2023-24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7166666666666667,5.0,50.0,6.0,0.61,70.0,33.8,17.2,3.1,6.5,1.0,0.7,0.487,0.353,19.8
Trey Jemison III,WAS,Washington Wizards,2023-24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6323529411764706,14.0,15.0,5.0,0.183,,,,,,,,,,
Zach LaVine,ORL,Orlando Magic,2023-24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7802197802197802,5.0,47.0,6.0,0.573,,,,,,,,,,
