Team,N_Players,N_Connections,Density,Total_Assists,Avg_Assists_Per_Player,Degree_Centralization,Gini_Coefficient,N_Hubs,Top2_Concentration,Avg_Clustering,Max_Betweenness,Avg_Betweenness,Max_Edge_Weight,Avg_Edge_Weight,PlayoffRank,PlayoffWins,PlayoffScore,WinPCT
BOS,16,167,0.6958333333333333,2147.0,134.1875,0.6056897477187332,0.4639031206334421,7,0.2845831392640894,0.09986531837426012,0.18861678004535148,0.06150368480725624,82.0,12.8562874251497,1,64,6.0,0.78
BKN,16,173,0.7208333333333333,1864.0,116.5,0.6618892508143323,0.3780512339055795,5,0.27360515021459225,0.12380682634869807,0.48385487528344673,0.08504393424036281,56.0,10.77456647398844,11,32,6.0,0.39
PHI,18,210,0.6862745098039216,1849.0,102.72222222222223,0.7407980736154111,0.43503996154077273,3,0.3107084910762574,0.057022337277075064,0.2196078431372549,0.06971677559912853,108.0,8.804761904761905,7,47,6.0,0.573
IND,17,198,0.7279411764705882,2475.0,145.58823529411765,0.7312633832976445,0.41319073083778957,3,0.2903030303030303,0.02969073170940791,0.28596230158730157,0.07297035480859011,212.0,12.5,6,47,6.0,0.573
DET,24,284,0.5144927536231884,1926.0,80.25,0.7784810126582279,0.5133913118726201,3,0.2946521287642783,0.05505693671360873,0.11478569681710935,0.042780178623740096,94.0,6.78169014084507,15,14,5.0,0.171
CHA,20,237,0.6236842105263158,1840.0,92.0,0.7146137595297143,0.38396739130434776,3,0.2817934782608696,0.07530051469909946,0.22173489278752434,0.04804580896686159,58.0,7.763713080168777,13,21,6.0,0.256
CLE,13,142,0.9102564102564102,2211.0,170.07692307692307,0.5030183727034121,0.32073896253000744,8,0.264812302125735,0.1547079192987077,0.5909090909090909,0.09324009324009325,93.0,15.570422535211268,4,48,6.0,0.585
POR,17,188,0.6911764705882353,1723.0,101.3529411764706,0.5696510297482837,0.3685090983578574,6,0.240858966918166,0.0991347531921163,0.42611111111111105,0.05664215686274509,63.0,9.164893617021276,15,21,6.0,0.256
ORL,14,142,0.7802197802197802,1915.0,136.78571428571428,0.6480797223155301,0.35706825811264453,5,0.3154046997389034,0.1241099870759078,0.48717948717948717,0.07829670329670328,83.0,13.485915492957746,5,47,6.0,0.573
WAS,17,172,0.6323529411764706,1996.0,117.41176470588235,0.6815839694656488,0.5029175999056936,5,0.3264028056112224,0.0332998379779894,0.19666666666666668,0.05634803921568627,171.0,11.604651162790697,14,15,5.0,0.183
PHX,17,185,0.6801470588235294,2099.0,123.47058823529412,0.7299588086185045,0.5205840316116919,5,0.3623153882801334,0.07391940999998015,0.26934523809523814,0.0632749766573296,114.0,11.345945945945946,6,49,6.0,0.598
UTA,14,161,0.8846153846153846,2002.0,143.0,0.5618729096989966,0.3082631654060226,7,0.26523476523476525,0.13378659460977219,0.42350427350427344,0.06587301587301587,83.0,12.434782608695652,12,31,6.0,0.378
HOU,12,124,0.9393939393939394,1929.0,160.75,0.6232727272727273,0.3545878693623641,4,0.3631415241057543,0.13485072939868317,0.5454545454545454,0.07803030303030303,168.0,15.556451612903226,11,41,6.0,0.5
OKC,18,186,0.6078431372549019,2134.0,118.55555555555556,0.6749415362475265,0.5166614599604291,5,0.2994376757263355,0.07459852196321366,0.37769607843137254,0.06724537037037037,103.0,11.473118279569892,1,57,6.0,0.695
GSW,14,166,0.9120879120879121,2287.0,163.35714285714286,0.5713969938107869,0.31691548503966516,6,0.2763445561871447,0.07323455504869203,0.3076923076923077,0.0840964590964591,108.0,13.77710843373494,10,46,6.0,0.561
MIA,15,179,0.8523809523809524,1945.0,129.66666666666666,0.5805148914689551,0.3285689802913454,6,0.27095115681233933,0.15672641017093267,0.4010989010989011,0.09304029304029306,63.0,10.865921787709498,8,46,6.0,0.561
SAC,11,104,0.9454545454545454,2063.0,187.54545454545453,0.7107547169811321,0.3910897633631518,3,0.40426563257392145,0.06938960297334537,0.6111111111111112,0.0925925925925926,185.0,19.83653846153846,9,46,6.0,0.561
DAL,16,172,0.7166666666666667,1918.0,119.875,0.7614956245027844,0.4287343587069865,3,0.3602711157455683,0.10105134803925628,0.2982993197278912,0.05626417233560091,109.0,11.151162790697674,5,50,6.0,0.61
MIL,14,152,0.8351648351648352,2117.0,151.21428571428572,0.7146401985111662,0.4374451717389838,2,0.3731695795937648,0.06690017873690902,0.6311965811965812,0.0753052503052503,140.0,13.927631578947368,3,49,6.0,0.598
TOR,21,266,0.6333333333333333,2207.0,105.0952380952381,0.6846026490066225,0.38621701512503503,7,0.2371998187584957,0.07792077991377809,0.23392857142857137,0.05716354378008512,63.0,8.296992481203008,12,25,6.0,0.305
LAL,13,134,0.8589743589743589,2204.0,169.53846153846155,0.6687358916478555,0.4654823398017591,4,0.36637931034482757,0.05455077058952195,0.3691919191919191,0.0844988344988345,169.0,16.44776119402985,8,47,6.0,0.573
LAC,16,142,0.5916666666666667,1961.0,122.5625,0.6936757013789824,0.4946137174910761,5,0.32355940846506887,0.07123177816610646,0.5666666666666667,0.0810515873015873,141.0,13.809859154929578,4,51,6.0,0.622
MIN,12,123,0.9318181818181818,2101.0,175.08333333333334,0.5283170437809613,0.32956528637156923,7,0.31461208948119945,0.13260613181641365,0.5181818181818182,0.10252525252525252,114.0,17.08130081300813,3,56,6.0,0.683
SAS,13,142,0.9102564102564102,2216.0,170.46153846153845,0.5287787787787788,0.33268536517633995,7,0.2870036101083033,0.1384203860824846,0.7171717171717172,0.07604895104895106,105.0,15.605633802816902,14,22,6.0,0.268
MEM,19,247,0.7222222222222222,1606.0,84.52631578947368,0.6171171171171171,0.3263747787900637,5,0.2275840597758406,0.07877233240850659,0.24989106753812643,0.0645224171539961,56.0,6.502024291497976,13,27,6.0,0.329
