TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,8,40,6.0
1610612738,Boston Celtics,2,61,6.0
1610612739,Cleveland Cavaliers,1,64,6.0
1610612740,New Orleans Pelicans,14,21,6.0
1610612741,Chicago Bulls,9,39,6.0
1610612742,Dallas Mavericks,10,39,6.0
1610612743,Denver Nuggets,4,50,6.0
1610612744,Golden State Warriors,7,48,6.0
1610612745,Houston Rockets,2,52,6.0
1610612746,Los Angeles Clippers,5,50,6.0
1610612747,Los Angeles Lakers,3,50,6.0
1610612748,Miami Heat,10,37,6.0
1610612749,Milwaukee Bucks,5,48,6.0
1610612750,Minnesota Timberwolves,6,49,6.0
1610612751,Brooklyn Nets,12,26,6.0
1610612752,New York Knicks,3,51,6.0
1610612753,Orlando Magic,7,41,6.0
1610612754,Indiana Pacers,4,50,6.0
1610612755,Philadelphia 76ers,13,24,6.0
1610612756,Phoenix Suns,11,36,6.0
1610612757,Portland Trail Blazers,12,36,6.0
1610612758,Sacramento Kings,9,40,6.0
1610612759,San Antonio Spurs,13,34,6.0
1610612760,Oklahoma City Thunder,1,68,6.0
1610612761,Toronto Raptors,11,30,6.0
1610612762,Utah Jazz,15,17,6.0
1610612763,Memphis Grizzlies,8,48,6.0
1610612764,Washington Wizards,15,18,6.0
1610612765,Detroit Pistons,6,44,6.0
1610612766,Charlotte Hornets,14,19,6.0
