TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,15,24,6.0
1610612738,Boston Celtics,2,55,6.0
1610612739,Cleveland Cavaliers,4,50,6.0
1610612740,New Orleans Pelicans,6,48,6.0
1610612741,Chicago Bulls,13,27,6.0
1610612742,Dallas Mavericks,13,24,6.0
1610612743,Denver Nuggets,9,46,6.0
1610612744,Golden State Warriors,2,58,6.0
1610612745,Houston Rockets,1,65,6.0
1610612746,Los Angeles Clippers,10,42,6.0
1610612747,Los Angeles Lakers,11,35,6.0
1610612748,Miami Heat,6,44,6.0
1610612749,Milwaukee Bucks,7,44,6.0
1610612750,Minnesota Timberwolves,8,47,6.0
1610612751,Brooklyn Nets,12,28,6.0
1610612752,New York Knicks,11,29,6.0
1610612753,Orlando Magic,14,25,6.0
1610612754,Indiana Pacers,5,48,6.0
1610612755,Philadelphia 76ers,3,52,6.0
1610612756,Phoenix Suns,15,21,6.0
1610612757,Portland Trail Blazers,3,49,6.0
1610612758,Sacramento Kings,12,27,6.0
1610612759,San Antonio Spurs,7,47,6.0
1610612760,Oklahoma City Thunder,4,48,6.0
1610612761,Toronto Raptors,1,59,6.0
1610612762,Utah Jazz,5,48,6.0
1610612763,Memphis Grizzlies,14,22,6.0
1610612764,Washington Wizards,8,43,6.0
1610612765,Detroit Pistons,9,39,6.0
1610612766,Charlotte Hornets,10,36,6.0
