Metric,Level,Playoff_Mean,Lottery_Mean,Diff,Pct_Diff,T_Stat,P_Value,Cohens_d
Weighted_Degree,Player,3148.471760797342,2722.903033908388,425.5687268889542,15.62922812855746,5.950048173826999,2.945731832748231e-09,0.2021474981751841
Degree_Per_Game,Player,47.35871395047704,44.824658521174506,2.5340554293025335,5.653262094803205,2.6295273906988386,0.008587942370190133,0.08930170754725031
Eigenvector_Centrality,Player,0.2339788448292536,0.22876079679492037,0.005218048034333234,2.281006233341245,0.9967146396345152,0.31897224027013227,0.03380962335659505
Betweenness_Centrality,Player,0.1063411940280711,0.10487646083984484,0.0014647331882262637,1.3966272092867764,0.23158372331663313,0.8168749467996252,0.007860982820008909
In_Out_Ratio,Player,0.9682809640892499,0.9711292482419821,-0.0028482841527321945,-0.2932960939945319,-0.3564517001095725,0.7215238956756823,-0.012089614739853323
Avg_Degree,Team,3181.39686777343,2764.9573403012696,416.43952747216053,15.061336440973275,5.290946171882151,2.5320491933833055e-07,0.6426721237707714
Std_Degree,Team,2220.61549466169,1858.5785962399991,362.0368984216907,19.479235322848876,6.330634410177396,1.023099597671836e-09,0.7677807048334602
Max_Degree,Team,7822.25,6707.492063492064,1114.7579365079364,16.619593820698007,5.361916067957146,1.7788264456704998e-07,0.6505343209843879
Top_Concentration,Team,19.982206617843346,18.390071495297743,1.5921351225456029,8.657579841126253,3.923423967613181,0.00011100575438412328,0.4815274656872435
Avg_Degree_PG,Team,47.66214836400351,45.18686361872777,2.4752847452757365,5.477885710682187,2.62024013069864,0.009288065013814937,0.3183590999477728
Avg_Eigen,Team,0.2358055802670167,0.2310458638511601,0.004759716415856596,2.0600742798506917,1.718945492720169,0.0867790235256155,0.2097181101838213
Avg_Between,Team,0.10684877670554753,0.10511037346992119,0.0017384032356263374,1.6538836065726716,0.7498410821971631,0.45400815665631944,0.09113868200702177
