Team,Season,Avg_Degree,Std_Degree,Max_Degree,Total_Degree,Avg_Degree_PG,Std_Degree_PG,Max_Degree_PG,Avg_Eigen,Max_Eigen,Avg_Between,Max_Between,Avg_InOut,Std_InOut,Made_Playoffs,Is_Champion,Deep_Run,GP,Top_Concentration
ATL,2015-16,3696.769230769231,2936.9080440106327,8813,48058,49.38873167101568,33.150909178987234,110.1625,0.21938034369268047,0.5228651520702254,0.10168997668997666,0.6439393939393939,0.9543505894235655,0.1556358279448618,True,False,False,82,18.338257938324524
ATL,2016-17,3449.5384615384614,2508.157744088431,9834,44844,48.282454166175214,30.37918313616909,122.925,0.22377998466893895,0.589372326614196,0.09498834498834498,0.5265151515151515,0.9646128729623527,0.18977181913665464,True,False,False,82,21.92935509767193
ATL,2017-18,2973.1666666666665,1806.2317798179286,7150,35678,47.23840363242949,22.088588659419166,105.1470588235294,0.24980702203632077,0.5453964389638474,0.0977272727272727,0.4499999999999999,0.9664010575096057,0.22506481743389897,False,False,False,82,20.04036100678289
ATL,2018-19,3135.3333333333335,2347.0252093519007,9860,37624,47.28085720273086,25.590045827646165,120.2439024390244,0.2375950605307091,0.6355764554886367,0.08825757575757574,0.8681818181818182,0.9596810708817127,0.2623951292133011,False,False,False,82,26.206676589411014
ATL,2019-20,1761.3333333333333,1524.8649432779596,6009,26420,32.697821439649296,26.836435446710958,98.50819672131148,0.1965870363805272,0.6119357294350698,0.08058608058608059,0.5796703296703297,0.8150732738036981,0.399040324859494,False,False,False,63,22.744133232399697
ATL,2020-21,2551.230769230769,1971.570784672556,8014,33166,46.58034817272361,28.278190827412924,125.21875,0.21905330628672148,0.634071800346138,0.1081002331002331,0.3446969696969697,0.9865715268557674,0.2446975757361525,True,False,True,71,24.163299764819392
ATL,2021-22,3275.4545454545455,2138.60624536806,8993,36030,48.99809012615633,25.770453425577692,116.79220779220779,0.2543848502915687,0.633710454309932,0.0904040404040404,0.638888888888889,0.9671788741761973,0.25722592122900984,True,False,False,77,24.959755759089646
ATL,2022-23,2709.1428571428573,2525.0811976934633,8430,37928,39.498920364166715,33.18216206604424,113.91891891891892,0.20177055547242378,0.5636594988985352,0.11111111111111108,0.5608974358974359,0.9388026857461378,0.3096051124435127,True,False,False,80,22.226323560430288
ATL,2023-24,3194.6153846153848,2616.8190466818533,9313,41530,52.65398740986739,35.385664627538745,124.98181818181818,0.23057916632097608,0.5547385366581301,0.11596736596736595,0.4469696969696969,0.9474911646323925,0.18390711138760282,False,False,False,79,22.424753190464724
BKN,2015-16,2636.1428571428573,1829.375885887898,6253,36906,44.925454357092185,25.971336939585324,99.87878787878788,0.22667111761749362,0.4250035845008534,0.12751831501831498,0.5769230769230769,0.9940300422383547,0.31595366967710187,False,False,False,79,16.94304449141061
BKN,2016-17,2760.5333333333333,1536.5616470672744,4855,41408,45.364807134649006,20.967181631338722,86.97297297297297,0.22666096802804203,0.4221769449245375,0.11978021978021977,0.478021978021978,0.9993264551850325,0.21870245035938696,False,False,False,78,11.724787480680062
BKN,2017-18,3417.6923076923076,2227.7987784887346,8191,44430,50.881261324758036,28.761053905815025,101.12345679012346,0.23937109200280193,0.5016700538839621,0.1042152292152292,0.571969696969697,0.9640079078539912,0.18397794142021476,False,False,False,80,18.435741616025208
BKN,2018-19,3760.0,2253.260082635824,9776,48880,57.425881979920355,24.40543090870486,119.21951219512195,0.2542636331989223,0.5172453622238191,0.07954545454545453,0.6704545454545455,0.9643561565654172,0.2793671875981873,True,False,False,81,20.0
BKN,2019-20,2350.6153846153848,1691.100555775318,6556,30558,41.97053874403137,23.91899887125696,100.86153846153846,0.2273004617536785,0.5654558844619935,0.09469696969696967,0.4469696969696969,0.961539009397318,0.2237949331994125,True,False,False,70,21.454283657307414
BKN,2020-21,2342.8571428571427,1563.2355921240778,5742,32800,46.438193474308555,29.83326333843089,110.2,0.2273213717272616,0.4887458413881619,0.1117216117216117,0.8782051282051282,0.9664978530348451,0.16958512629145878,True,False,False,69,17.506097560975608
BKN,2021-22,1794.6666666666667,1088.3507619110585,4047,26920,36.29253366130343,25.11769355384665,103.06666666666666,0.22906852838071753,0.4466441868276104,0.11336996336996337,0.5,0.9448280482682943,0.1895260501611752,True,False,False,81,15.033432392273403
BKN,2022-23,2043.2857142857142,1103.9632399517818,4463,28606,32.429591683311706,14.22656640422789,58.093023255813954,0.23521135184747194,0.469730980817774,0.11095848595848594,0.5475427350427351,1.046754826664531,0.2417718084559318,True,False,False,83,15.601622037334826
BKN,2023-24,2017.7142857142858,1386.6806203510391,4610,28248,30.917216419108318,16.91785788489494,55.54216867469879,0.21830894507160487,0.481749298037794,0.10233516483516482,0.483974358974359,0.9813805330856564,0.21990866567329193,False,False,False,82,16.319739450580574
BOS,2015-16,4502.4,2449.255451492691,10479,45024,58.71326929521465,27.995238128262745,126.25301204819277,0.2895025408643762,0.5761051544394592,0.10555555555555554,0.7083333333333333,0.9746346623107115,0.23257174760300836,True,False,False,82,23.274253731343283
BOS,2016-17,4325.833333333333,2618.067567477736,10108,51910,59.577904086875556,33.334014721633984,131.27272727272728,0.2536799488689639,0.5319257023581098,0.09772727272727272,0.5818181818181818,0.9848214558200525,0.20858934603294915,True,False,True,80,19.47216335966095
BOS,2017-18,3517.6923076923076,2053.3922496126333,6835,45730,52.74942060125548,29.186516731752647,108.85245901639344,0.24418693728801208,0.4601054786478908,0.07721445221445221,0.6098484848484849,0.9722188039842466,0.17017648829205395,True,False,True,81,14.946424666520883
