TeamID,TeamName,WinPCT,PlayoffRank
1610612747,Lakers,0.732,1
1610612749,Bucks,0.767,1
1610612761,Raptors,0.736,2
1610612746,Clippers,0.681,2
1610612738,Celtics,0.667,3
1610612743,Nuggets,0.63,3
1610612754,Pacers,0.616,4
1610612745,Rockets,0.611,4
1610612748,Heat,0.603,5
1610612760,Thunder,0.611,5
1610612755,76ers,0.589,6
1610612762,Jazz,0.611,6
1610612751,Nets,0.486,7
1610612742,Mavericks,0.573,7
1610612757,Trail Blazers,0.473,8
1610612753,Magic,0.452,8
1610612764,Wizards,0.347,9
1610612763,Grizzlies,0.466,9
1610612766,Hornets,0.354,10
1610612756,Suns,0.466,10
1610612741,Bulls,0.338,11
1610612759,Spurs,0.451,11
1610612758,Kings,0.431,12
1610612752,Knicks,0.318,12
1610612765,Pistons,0.303,13
1610612740,Pelicans,0.417,13
1610612750,Timberwolves,0.297,14
1610612737,Hawks,0.299,14
1610612739,Cavaliers,0.292,15
1610612744,Warriors,0.231,15
