TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,14,20,6.0
1610612738,Boston Celtics,3,48,6.0
1610612739,Cleveland Cavaliers,15,19,6.0
1610612740,New Orleans Pelicans,13,30,6.0
1610612741,Chicago Bulls,11,22,6.0
1610612742,Dallas Mavericks,7,43,6.0
1610612743,Denver Nuggets,3,46,6.0
1610612744,Golden State Warriors,15,15,5.0
1610612745,Houston Rockets,4,44,6.0
1610612746,Los Angeles Clippers,2,49,6.0
1610612747,Los Angeles Lakers,1,52,6.0
1610612748,Miami Heat,5,44,6.0
1610612749,Milwaukee Bucks,1,56,6.0
1610612750,Minnesota Timberwolves,14,19,6.0
1610612751,Brooklyn Nets,7,35,6.0
1610612752,New York Knicks,12,21,6.0
1610612753,Orlando Magic,8,33,6.0
1610612754,Indiana Pacers,4,45,6.0
1610612755,Philadelphia 76ers,6,43,6.0
1610612756,Phoenix Suns,10,34,6.0
1610612757,Portland Trail Blazers,8,35,6.0
1610612758,Sacramento Kings,12,31,6.0
1610612759,San Antonio Spurs,11,32,6.0
1610612760,Oklahoma City Thunder,5,44,6.0
1610612761,Toronto Raptors,2,53,6.0
1610612762,Utah Jazz,6,44,6.0
1610612763,Memphis Grizzlies,9,34,6.0
1610612764,Washington Wizards,9,25,6.0
1610612765,Detroit Pistons,13,20,6.0
1610612766,Charlotte Hornets,10,23,6.0
