Metric,Description,Deni,AllStar_Mean,AllStar_Median,AllStar_Std,AllStar_Min,AllStar_Max,All_Mean,Pct_vs_All,Pct_vs_AllStars,Z_vs_All,Z_vs_AllStars,vs_AllStar_Avg
Weighted_Degree,Total Pass Volume,7400.0,7138.928961748634,7086.5,1656.8229691503327,1395.0,11838.0,2943.3151706337826,95.6696300544881,58.7431693989071,2.1014227901863234,0.15757328520454486,103.6570056888116
Weighted_In_Degree,Passes Received,4000.0,3821.3879781420765,3782.0,891.7617301202905,707.0,6420.0,1471.6575853168913,96.09979925437338,62.841530054644814,2.215729436369191,0.20029119418909175,104.67400910034692
Weighted_Out_Degree,Passes Made,3400.0,3317.5409836065573,3346.5,852.1232866058856,688.0,5819.0,1471.6575853168913,94.55119013478634,51.91256830601093,1.9081787785770672,0.09676888038336248,102.48554627662203
Eigenvector_Centrality,Eigenvector Centrality,0.42,0.49430105437471594,0.4980908947933682,0.07862637251901346,0.158760774828976,0.6439444520677504,0.2314633476265825,85.20217952394609,16.39344262295082,1.2205124354778127,-0.9449889648253638,84.96846128141365
Betweenness_Centrality,Betweenness Centrality,0.008,0.007766292602358172,0.0,0.03220762450645662,0.0,0.2222222222222222,0.10563508089660899,56.66762259822197,92.34972677595628,-0.5232359831881283,0.007256275531744882,103.00925305815628
Degree_Per_Game,Degree Per Game,185.0,98.9261206028683,99.5563093622795,21.727077620005513,19.10958904109589,145.4794520547945,46.137105927346106,100.0,100.0,4.879360891624322,3.9615948772548206,187.00824299243374
In_Degree_Per_Game,Received Per Game,100.0,52.98059345560491,53.17822299651568,11.769365230514566,9.684931506849315,78.29268292682927,23.040512561809813,100.0,100.0,4.93913042904813,3.9950673314553398,188.74835761097125
Out_Degree_Per_Game,Made Per Game,85.0,45.94552714726337,46.456066291432144,11.193390199516019,9.424657534246576,72.41095890410959,23.09659336553629,100.0,100.0,4.633675283224226,3.489065614314533,185.00168629594842
In_Out_Ratio,In/Out Ratio,1.1764705882352942,1.1719630939069419,1.170874939816267,0.17462163514160722,0.6007646095030038,1.6908436213991769,0.9696540543274897,81.50272440493261,51.36612021857923,0.8772841030213799,0.025812920172789557,100.38461060350679
Out_In_Ratio,Out/In Ratio,0.85,0.8733409639612109,0.8536979047538679,0.14317218468298906,0.5909367396593674,1.6633348477964562,1.0804859368655986,19.271580154860914,49.18032786885246,-0.8086041473383966,-0.1630272249661643,97.32739389031481
Net_Pass_Flow,Net Pass Flow,600.0,503.8469945355191,551.5,545.5674171559142,-1461.0,1804.0,0.0,93.05993690851734,53.278688524590166,1.5549682331731665,0.17624403958310791,119.08377076916403
Degree_Concentration,Team Degree Share,0.18,0.1786768709982913,0.17506847439500878,0.039826860683713126,0.049081697276757444,0.2957532340359738,0.07743045597935187,94.66590192142242,54.09836065573771,1.9289499027976458,0.03322202601446259,100.74051498345375
Black_Hole_Ratio,Black Hole Ratio,1.1627906976744187,1.1719630939069419,1.170874939816267,0.17462163514160722,0.6007646095030038,1.6908436213991769,0.9696540543274897,80.01147117866361,48.08743169398907,0.8192560996825452,-0.05252726115572652,99.21734768951252
