TEAM_ID,TEAM_ABBREVIATION,SEASON,Num_Players,Num_Edges,Total_Passes,Density,Gini_Coefficient,Degree_Centralization,Top2_Concentration,Star_Player_ID,Star_Player_Name,Star_Weighted_Degree,W_PCT,WINS,LOSSES,Avg_Degree,Std_Degree,Max_Degree,Min_Degree,Roster_Size,Degree_Range,Degree_CV,Is_Champion,Is_Spurs,Is_Elite
1610612759,SAS,2015-16,14,182,24797,1.0,0.3360890430293987,0.0828402366863905,0.2824938500625075,2225,Tony Parker,8046,0.436,66,31,3542.4285714285716,2197.8752926855977,8046,559,14,7487,0.6202679829382028,False,True,True
1610612739,CLE,2015-16,11,114,21509,1.0363636363636364,0.3218103204155554,0.07,0.3382072620763401,2544,LeBron James,8377,0.688,57,35,3910.7272727272725,2383.935657307432,8377,1051,11,7326,0.6094329924093461,True,False,True
1610612744,GSW,2016-17,11,113,22487,1.0272727272727271,0.3104419927473247,0.08,0.3672566371681416,201939,Stephen Curry,8505,0.823,66,36,4088.5454545454545,2425.6777347222514,8505,1040,11,7465,0.5931411599854344,True,False,True
1610612759,SAS,2016-17,12,137,23014,1.0378787878787878,0.249065786043278,0.0578512396694214,0.2826540366733293,201988,Patty Mills,6808,0.73,60,21,3835.6666666666665,1749.3459210559674,6808,1354,12,5454,0.455954627555856,False,True,True
1610612744,GSW,2017-18,14,185,25217,1.0164835164835164,0.2719423971357191,0.0650887573964497,0.2786215648173851,203110,Draymond Green,7885,0.719,56,24,3602.4285714285716,1901.6998353410727,7885,1730,14,6155,0.5277473377492669,True,False,True
1610612759,SAS,2017-18,11,110,22724,1.0,0.1985365892688547,0.0,0.2692527723992255,1627749,Dejounte Murray,6148,0.6,47,35,4131.636363636364,1525.2906131440839,6148,2210,11,3938,0.3690841581333712,False,True,False
1610612759,SAS,2018-19,10,90,20855,1.0,0.2047950131862862,0.0,0.2955646128026852,201942,DeMar DeRozan,6497,0.585,48,34,4171.0,1578.1795419617713,6497,1499,10,4998,0.3782788930876729,False,True,False
1610612761,TOR,2018-19,11,110,18294,1.0,0.3484152777363666,0.0,0.3623592434678036,200768,Kyle Lowry,7449,0.419,57,43,3326.181818181818,2165.2234442746008,7449,536,11,6913,0.6507679960387063,True,False,True
1610612747,LAL,2019-20,12,130,18367,0.9848484848484848,0.3381608319268253,0.0165289256198347,0.3745304077965917,2544,LeBron James,8763,0.75,52,36,3061.1666666666665,2159.618309429757,8763,302,12,8461,0.705258251596285,True,False,True
1610612759,SAS,2019-20,12,128,18502,0.9696969696969696,0.2924368536734767,0.0330578512396694,0.303129391417144,201942,DeMar DeRozan,5873,0.429,32,38,3083.6666666666665,1684.7762912372523,5873,346,12,5527,0.5461777473213483,False,True,False
1610612749,MIL,2020-21,11,92,14290,0.8363636363636363,0.4011133023729245,0.18,0.3700489853044086,203114,Khris Middleton,5313,0.667,46,28,2598.181818181818,1945.0119700496355,5313,10,11,5303,0.748317011316358,True,False,True
1610612759,SAS,2020-21,13,124,16150,0.7948717948717948,0.4080161943319838,0.1319444444444444,0.3598452012383901,1627749,Dejounte Murray,6482,0.464,32,37,2484.6153846153848,1897.2773272271652,6482,0,13,6482,0.7633028581051944,False,True,False
1610612744,GSW,2021-22,15,210,24930,1.0,0.3098382136649285,0.0,0.2933413557962294,201939,Stephen Curry,7315,0.645,53,29,3324.0,1974.3079438483899,7315,825,15,6490,0.5937768252175608,True,False,True
1610612759,SAS,2021-22,13,150,15840,0.9615384615384616,0.3860771173271173,0.0868055555555555,0.3559027777777778,1627749,Dejounte Murray,7150,0.44,38,43,2436.923076923077,1872.8455382802956,7150,125,13,7025,0.7682135486588155,False,True,False
1610612743,DEN,2022-23,13,151,18779,0.967948717948718,0.4741466531764204,0.0347222222222222,0.4176473720645401,203999,Nikola Jokić,8973,0.662,53,32,2889.076923076923,2688.101698892686,8973,300,13,8673,0.930114239323013,True,False,True
1610612759,SAS,2022-23,15,208,14683,0.9904761904761904,0.3326522736043951,0.086734693877551,0.3016073009602942,1630200,Tre Jones,5300,0.097,31,51,1957.7333333333333,1270.0194299226102,5300,453,15,4847,0.6483881232374376,False,True,False
1610612738,BOS,2023-24,14,171,20923,0.9395604395604396,0.4494336376236677,0.0650887573964497,0.3316923959279262,1628369,Jayson Tatum,7189,0.78,64,24,2989.0,2469.563275000414,7189,115,14,7074,0.8259408946489678,True,False,True
1610612759,SAS,2023-24,12,131,20837,0.9924242424242424,0.3057541872630417,0.0082644628099173,0.3013149685655324,1630200,Tre Jones,7202,0.212,21,57,3472.8333333333335,1964.4682293797534,7202,667,12,6535,0.5655044559937878,False,True,False
