Metric,Spurs_Avg,Champions_Avg,All_Teams_Avg,Spurs_Percentile
Density,0.971876271876272,0.9787601287601286,0.9531326371840649,51.11111111111111
Star_Weighted_Degree,6611.777777777777,7752.111111111111,7302.029629629629,34.81481481481482
Gini_Coefficient,0.30149145085864804,0.3583669585333036,0.35892678802154065,14.444444444444443
Degree_Centralization,0.05416649825366106,0.05682540695943959,0.07129542247536036,47.77777777777778
Top2_Concentration,0.3057516568774317,0.3481894693799296,0.3389970514700475,23.703703703703706
Avg_Degree,3235.167044067044,3309.9231694231694,2987.058421619756,64.07407407407408
Std_Degree,1748.8975760993887,2234.7933187629155,2051.6649420649005,24.074074074074073
Degree_CV,0.568352488336854,0.6871663009205486,0.6930329088914654,15.185185185185185
