Team,Season,Win_Pct,Std_Weighted_Degree,Pass_Entropy,Max_Weighted_Degree,Star_Player,Mean_Weighted_Degree,Density,Gini_Coefficient,Degree_Centralization,Top2_Concentration,Top3_Concentration,Max_Degree_Per_Game,Avg_Degree_Per_Game,N_Players
ATL,2015-16,0.585,2821.6899778963934,0.8769134436476141,8813,Jeff Teague,3696.769230769231,0.6318697668658864,0.42966031429970836,0.6289099436438594,0.3335344791710017,0.4796912064588622,107.47560975609755,45.08255159474672,13
ATL,2016-17,0.524,2409.7600140768764,0.9123399156240578,9834,Dennis Schröder,3449.5384615384614,0.6720400762989248,0.3683538832053683,0.7033251982916412,0.3497680849165998,0.4547765587369548,119.92682926829268,42.06754221388368,13
ATL,2017-18,0.293,1729.3352688886623,0.9339931438532445,7150,Dennis Schröder,2973.1666666666665,0.7472088374763622,0.316254648055758,0.6372790845518118,0.3296709456808117,0.4401311732720444,87.1951219512195,36.25813008130081,12
ATL,2018-19,0.354,2247.105558021004,0.9165368562902153,9860,Trae Young,3135.3333333333335,0.6606484026723286,0.3279511304840882,0.7440162271805274,0.37866787157133747,0.4660854773548799,120.2439024390244,38.235772357723576,12
ATL,2019-20,0.299,1473.1594920065136,0.8725819331415278,6009,Trae Young,1761.3333333333333,0.5883923454651843,0.4309058793843048,0.7573758410004041,0.34901589704769115,0.46324753974261923,95.38095238095238,27.957671957671955,15
ATL,2020-21,0.569,1894.2239390739803,0.9106501853308713,8014,Trae Young,2551.230769230769,0.6446337428398755,0.3683800370165925,0.7384576990267032,0.36700235180606644,0.4808237351504553,112.87323943661971,35.932827735644636,13
ATL,2021-22,0.524,2039.0810480854252,0.9314047908356408,8993,Trae Young,3275.4545454545455,0.7206956390916764,0.29491080665102315,0.6993550539308351,0.3597002497918401,0.4572023313905079,116.79220779220779,42.5383707201889,11
ATL,2022-23,0.5,2433.229125995297,0.8577701075523174,8430,Trae Young,2709.1428571428573,0.5535009324172815,0.460206556784283,0.7308331052103294,0.4250949166842438,0.521830837376081,105.375,33.864285714285714,14
ATL,2023-24,0.439,2514.15841672292,0.8896097184961479,9313,Dejounte Murray,3194.6153846153848,0.6175252112733263,0.4172183222508289,0.7117201760979276,0.3897664339032025,0.5072477726944378,117.88607594936708,40.4381694255112,13
BKN,2015-16,0.256,1762.8307129299114,0.914500989642054,6253,Shane Larkin,2636.1428571428573,0.6909985735887259,0.37531644099681816,0.6229133093038418,0.30957025957838835,0.4336151303311115,79.15189873417721,33.368896925858955,14
