TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,10,36,6.0
1610612738,Boston Celtics,1,64,6.0
1610612739,Cleveland Cavaliers,4,48,6.0
1610612740,New Orleans Pelicans,7,49,6.0
1610612741,Chicago Bulls,9,39,6.0
1610612742,Dallas Mavericks,5,50,6.0
1610612743,Denver Nuggets,2,57,6.0
1610612744,Golden State Warriors,10,46,6.0
1610612745,Houston Rockets,11,41,6.0
1610612746,Los Angeles Clippers,4,51,6.0
1610612747,Los Angeles Lakers,8,47,6.0
1610612748,Miami Heat,8,46,6.0
1610612749,Milwaukee Bucks,3,49,6.0
1610612750,Minnesota Timberwolves,3,56,6.0
1610612751,Brooklyn Nets,11,32,6.0
1610612752,New York Knicks,2,50,6.0
1610612753,Orlando Magic,5,47,6.0
1610612754,Indiana Pacers,6,47,6.0
1610612755,Philadelphia 76ers,7,47,6.0
1610612756,Phoenix Suns,6,49,6.0
1610612757,Portland Trail Blazers,15,21,6.0
1610612758,Sacramento Kings,9,46,6.0
1610612759,San Antonio Spurs,14,22,6.0
1610612760,Oklahoma City Thunder,1,57,6.0
1610612761,Toronto Raptors,12,25,6.0
1610612762,Utah Jazz,12,31,6.0
1610612763,Memphis Grizzlies,13,27,6.0
1610612764,Washington Wizards,14,15,5.0
1610612765,Detroit Pistons,15,14,5.0
1610612766,Charlotte Hornets,13,21,6.0
