TeamID,TeamName,WinPCT,PlayoffRank
1610612760,Thunder,0.695,1
1610612738,Celtics,0.78,1
1610612743,Nuggets,0.695,2
1610612752,Knicks,0.61,2
1610612750,Timberwolves,0.683,3
1610612749,Bucks,0.598,3
1610612739,Cavaliers,0.585,4
1610612746,Clippers,0.622,4
1610612753,Magic,0.573,5
1610612742,Mavericks,0.61,5
1610612756,Suns,0.598,6
1610612754,Pacers,0.573,6
1610612740,Pelicans,0.598,7
1610612755,76ers,0.573,7
1610612747,Lakers,0.573,8
1610612748,Heat,0.561,8
1610612741,Bulls,0.476,9
1610612758,Kings,0.561,9
1610612737,Hawks,0.439,10
1610612744,Warriors,0.561,10
1610612751,Nets,0.39,11
1610612745,Rockets,0.5,11
1610612761,Raptors,0.305,12
1610612762,Jazz,0.378,12
1610612766,Hornets,0.256,13
1610612763,Grizzlies,0.329,13
1610612759,Spurs,0.268,14
1610612764,Wizards,0.183,14
1610612765,Pistons,0.171,15
1610612757,Trail Blazers,0.256,15
