PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,SEASON,GP,MIN,PTS,AST,REB,In_Degree,Out_Degree,Total_Degree,Weighted_In_Degree,Weighted_Out_Degree,Weighted_Degree,Betweenness_Centrality,Eigenvector_Centrality,Team_Mean_Degree,Team_Std_Degree,Degree_ZScore,Is_Star
201166,Aaron Brooks,1610612741,CHI,2015-16,69,1107.71,491,180,101,13,13,26,2044,1712,3756,0.0149572649572649,0.1878488037956929,3334.714285714286,2283.072236081205,0.18444500468536684,False
1626171,Bobby Portis,1610612741,CHI,2015-16,62,1102.08,436,52,337,13,13,26,984,1342,2326,0.1602564102564102,0.1285020323213507,3334.714285714286,2283.072236081205,-0.44162976537245696,False
1626245,Cristiano Felicio,1610612741,CHI,2015-16,31,320.7033333333333,105,26,102,11,11,22,345,490,835,0.2628205128205128,0.0328301710754864,3334.714285714286,2283.072236081205,-1.0944112214257544,False
201565,Derrick Rose,1610612741,CHI,2015-16,66,2097.423333333333,1080,311,225,13,13,26,4284,3549,7833,0.0,0.5107830512773679,3334.714285714286,2283.072236081205,1.9694148211369384,True
203926,Doug McDermott,1610612741,CHI,2015-16,81,1860.56,764,59,195,13,13,26,1345,1141,2486,0.0,0.1408412645948398,3334.714285714286,2283.072236081205,-0.37157944144990324,False
202734,E'Twaun Moore,1610612741,CHI,2015-16,59,1263.1,443,99,133,13,13,26,1623,1418,3041,0.0,0.2071356275935995,3334.714285714286,2283.072236081205,-0.12859238034354506,False
202710,Jimmy Butler III,1610612741,CHI,2015-16,67,2473.625,1399,321,358,13,13,26,3509,2953,6462,0.0,0.4832953237476819,3334.714285714286,2283.072236081205,1.3691711080255566,False
201149,Joakim Noah,1610612741,CHI,2015-16,29,635.4233333333333,124,110,255,10,10,20,699,1136,1835,0.032051282051282,0.1457456934809186,3334.714285714286,2283.072236081205,-0.6565966969097937,False
203200,Justin Holiday,1610612741,CHI,2015-16,53,772.5866666666667,239,56,90,12,12,24,468,378,846,0.3012820512820512,0.0462212437574177,3334.714285714286,2283.072236081205,-1.089595261656079,False
2399,Mike Dunleavy,1610612741,CHI,2015-16,31,702.6366666666667,222,39,83,12,12,24,658,671,1329,0.3621794871794871,0.1015630693120482,3334.714285714286,2283.072236081205,-0.8781308463148698,False
202703,Nikola Mirotic,1610612741,CHI,2015-16,66,1646.11,777,100,362,13,13,26,1746,2079,3825,0.0,0.2531568246247755,3334.714285714286,2283.072236081205,0.21465420687696815,False
2200,Pau Gasol,1610612741,CHI,2015-16,72,2291.358333333333,1187,294,793,12,12,24,3250,3861,7111,0.0,0.4893337702179551,3334.714285714286,2283.072236081205,1.6533127344364151,True
201959,Taj Gibson,1610612741,CHI,2015-16,73,1935.5583333333327,627,106,504,13,13,26,1455,1800,3255,0.0534188034188034,0.1959133076608652,3334.714285714286,2283.072236081205,-0.03490007209712947,False
203503,Tony Snell,1610612741,CHI,2015-16,64,1301.013333333333,338,63,199,13,13,26,933,813,1746,0.0,0.11956546646027,3334.714285714286,2283.072236081205,-0.6955621895917142,False
203932,Aaron Gordon,1610612753,ORL,2015-16,78,1863.12,719,128,507,12,12,24,1316,2076,3392,0.0,0.2559563165453802,3024.6153846153848,1898.1002580853283,0.1934519327352481,False
203094,Andrew Nicholson,1610612753,ORL,2015-16,56,822.7716666666666,384,25,201,12,12,24,635,744,1379,0.125,0.0941486294818581,3024.6153846153848,1898.1002580853283,-0.8665237012154867,False
201943,Brandon Jennings,1610612753,ORL,2015-16,48,867.505,332,170,96,12,12,24,1037,929,1966,0.1666666666666666,0.1177829928104614,3024.6153846153848,1898.1002580853283,-0.5574299619561318,False
201228,C.J. Watson,1610612753,ORL,2015-16,33,655.7033333333334,142,88,66,12,12,24,916,909,1825,0.0,0.1105146482923609,3024.6153846153848,1898.1002580853283,-0.6316756471956021,False
203473,Dewayne Dedmon,1610612753,ORL,2015-16,58,704.875,255,13,228,11,12,23,403,609,1012,0.25,0.0679406773335557,3024.6153846153848,1898.1002580853283,-1.0597731088955262,False
203901,Elfrid Payton,1610612753,ORL,2015-16,73,2144.92,778,467,261,12,12,24,3613,3464,7077,0.0,0.5312421508819926,3024.6153846153848,1898.1002580853283,2.133844486688779,True
101141,Ersan Ilyasova,1610612753,ORL,2015-16,74,1880.3866666666668,767,67,403,12,12,24,380,499,879,0.7083333333333334,0.0483978345344315,3024.6153846153848,1898.1002580853283,-1.1298062729866578,False
203095,Evan Fournier,1610612753,ORL,2015-16,79,2566.088333333333,1213,214,225,12,12,24,2618,2110,4728,0.0,0.3634572351693761,3024.6153846153848,1898.1002580853283,0.8969429645078173,False
201160,Jason Smith,1610612753,ORL,2015-16,76,1180.861666666667,546,62,219,12,12,24,1192,1457,2649,0.0227272727272727,0.1698566181274294,3024.6153846153848,1898.1002580853283,-0.19778596891671216,False
1626209,Mario Hezonja,1610612753,ORL,2015-16,79,1412.8533333333332,478,109,176,12,12,24,1276,1231,2507,0.0,0.17867829724436,3024.6153846153848,1898.1002580853283,-0.27255821929972474,False
202696,Nikola Vučević,1610612753,ORL,2015-16,65,2036.8216666666667,1181,179,576,12,11,23,2263,2197,4460,0.0,0.4516368061961751,3024.6153846153848,1898.1002580853283,0.7558235060384696,False
203894,Shabazz Napier,1610612753,ORL,2015-16,55,599.865,203,97,55,12,12,24,1031,902,1933,0.3143939393939394,0.1244697331203588,3024.6153846153848,1898.1002580853283,-0.5748066116930292,False
